pid,version,rid,priority,effect,action,resource_class,subject_class,seq_actions,seq_horizon
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00000,30,ALLOW,change_principal,process,process,change_principal > change_principal > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00001,30,ALLOW,change_principal,process,process,change_principal > change_principal > lseek > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00002,30,ALLOW,change_principal,process,process,change_principal > change_principal > modify_process > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00003,30,ALLOW,change_principal,process,process,change_principal > change_principal > unlink > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00004,30,ALLOW,change_principal,process,process,change_principal > lseek > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00005,30,ALLOW,change_principal,process,process,change_principal > modify_process > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00006,30,ALLOW,change_principal,process,process,change_principal > unlink > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00007,30,ALLOW,change_principal,process,process,close > change_principal > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00008,30,ALLOW,change_principal,process,process,close > login > modify_process > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00009,30,ALLOW,change_principal,process,process,close > open > close > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00010,30,ALLOW,change_principal,process,process,fcntl > change_principal > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00011,30,ALLOW,change_principal,process,process,fcntl > fcntl > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00012,30,ALLOW,change_principal,process,process,fcntl > fcntl > fcntl > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00013,30,ALLOW,change_principal,process,process,login > modify_process > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00014,30,ALLOW,change_principal,process,process,login > modify_process > modify_process > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00015,30,ALLOW,change_principal,process,process,lseek > change_principal > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00016,30,ALLOW,change_principal,process,process,lseek > read > close > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00017,30,ALLOW,change_principal,process,process,modify_process > change_principal > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00018,30,ALLOW,change_principal,process,process,modify_process > modify_process > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00019,30,ALLOW,change_principal,process,process,open > close > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00020,30,ALLOW,change_principal,process,process,open > fcntl > fcntl > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00021,30,ALLOW,change_principal,process,process,read > close > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00022,30,ALLOW,change_principal,process,process,read > read > close > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00023,30,ALLOW,change_principal,process,process,read > read > read > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00024,30,ALLOW,change_principal,process,process,read > write > close > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00025,30,ALLOW,change_principal,process,process,unlink > change_principal > change_principal > change_principal,4
DARPA_CADETS_TRACE_AWARE,2,A_P1_TRACE_00026,30,ALLOW,change_principal,process,process,write > close > change_principal > change_principal,4
