case,event_id,truth,alert_class,n_units,intrinsic_core_size,intrinsic_us,shap_us,shap_sufficient_k,shap_jaccard,lime_us,lime_sufficient_k,lime_jaccard,lime_score,core
0,3F4FE9CD-35AF-5A78-9188-69564522B176,1,Violation,2,2,125.507,18734.704,2,1.0,70118.959,2,1.0,0.7563735747332783,e:0;r:D_DARPA_UNSEEN_SELECTOR
1,98F606DF-A939-5109-9ABE-BF8ED1FB841C,1,Violation,2,2,90.505,2825.352,2,1.0,56917.851,2,1.0,0.7595535700627531,e:0;r:D_DARPA_UNSEEN_SELECTOR
2,52960553-146F-566D-AE70-7252847121ED,1,Violation,2,2,85.105,2276.522,2,1.0,61144.178,2,1.0,0.7549945650661535,e:0;r:D_DARPA_UNSEEN_SELECTOR
3,EF928CE0-68F9-560D-BE0B-C4E0FC5F95CA,1,Violation,2,2,84.305,2802.25,2,1.0,59065.467,2,1.0,0.7622970002745705,e:0;r:D_DARPA_UNSEEN_SELECTOR
4,BBCF97E9-25CD-52DE-B19B-35C22B74050B,1,Violation,2,2,85.105,2396.629,2,1.0,57504.483,2,1.0,0.7562070746454443,e:0;r:D_DARPA_UNSEEN_SELECTOR
5,241BB73A-40D3-5BAC-AE8A-94D0C48D0F44,1,Violation,2,2,80.204,2214.919,2,1.0,57538.885,2,1.0,0.7527828564413271,e:0;r:D_DARPA_UNSEEN_SELECTOR
6,6AB87C5C-3555-5DBB-8038-BB2656124DCF,1,Violation,2,2,78.704,2224.819,2,1.0,61542.2,2,1.0,0.7599633964502874,e:0;r:D_DARPA_UNSEEN_SELECTOR
7,DAEC0E8C-1905-5EDF-9BC2-6DDB9967DF37,1,Violation,2,2,112.006,2702.344,2,1.0,57742.196,2,1.0,0.7559954927118846,e:0;r:D_DARPA_UNSEEN_SELECTOR
8,79C3283B-0C08-5B38-9E14-332FEB87764D,1,Violation,2,2,79.304,2516.135,2,1.0,58632.443,2,1.0,0.7619355062279036,e:0;r:D_DARPA_UNSEEN_SELECTOR
9,F840FEA2-4922-5041-8FD6-9A206BD1C18F,1,Violation,2,2,76.804,2191.317,2,1.0,58127.816,2,1.0,0.7530083837976235,e:0;r:D_DARPA_UNSEEN_SELECTOR
10,45BF0A20-F4C8-52C6-B0C3-6B853E7B05B1,1,Violation,2,2,78.705,2216.618,2,1.0,57803.599,2,1.0,0.7565353669870376,e:0;r:D_DARPA_UNSEEN_SELECTOR
11,CD49C95C-CF63-544F-AA91-8072D73D830D,1,Violation,2,2,82.105,2318.924,2,1.0,60356.736,2,1.0,0.7607960877083506,e:0;r:D_DARPA_UNSEEN_SELECTOR
12,47A49CE6-E59F-5317-9EF2-7A64AF06411D,1,Violation,2,2,100.205,3759.002,2,1.0,62875.971,2,1.0,0.7574976038842959,e:0;r:D_DARPA_UNSEEN_SELECTOR
13,2B96A56C-93C1-5A4B-A130-45FF889E8444,1,Violation,2,2,78.604,2546.736,2,1.0,58527.038,2,1.0,0.7594331716541789,e:0;r:D_DARPA_UNSEEN_SELECTOR
14,04283BB4-636F-59A0-A35E-6D73D939273A,1,Violation,2,2,79.304,2565.238,2,1.0,100346.98,2,1.0,0.7550728660227735,e:0;r:D_DARPA_UNSEEN_SELECTOR
15,5AF5AC1A-2427-5005-B5C3-855CC49D40B2,1,Violation,2,2,226.212,2387.928,2,1.0,57245.77,2,1.0,0.7553522727943959,e:0;r:D_DARPA_UNSEEN_SELECTOR
16,2AE42829-4438-58ED-8A02-181AA5B06DF6,1,Violation,2,2,109.906,2338.225,2,1.0,74606.0,2,1.0,0.756336800360949,e:0;r:D_DARPA_UNSEEN_SELECTOR
17,A258ADFE-1B38-539F-A9DD-504FF96561E9,1,Violation,2,2,77.604,3024.662,2,1.0,61692.508,2,1.0,0.7531529304499344,e:0;r:D_DARPA_UNSEEN_SELECTOR
18,F82BF9D8-FAEA-53D8-A800-4A5F6358D214,1,Violation,2,2,80.804,2361.727,2,1.0,57912.005,2,1.0,0.7553932723296608,e:0;r:D_DARPA_UNSEEN_SELECTOR
19,92DF49F5-7B82-5DE2-88D3-0B1EE0436272,1,Violation,2,2,78.304,2230.32,2,1.0,59319.58,2,1.0,0.7501076375149546,e:0;r:D_DARPA_UNSEEN_SELECTOR
20,7EE874BF-3CC6-5B28-9162-23ADE3857D40,1,Violation,2,2,80.504,2405.729,2,1.0,56609.835,2,1.0,0.7611574996092753,e:0;r:D_DARPA_UNSEEN_SELECTOR
21,3EFBC3A9-E8FC-5704-A71D-68F381608146,1,Violation,2,2,79.905,2841.452,2,1.0,61557.601,2,1.0,0.7630909898306499,e:0;r:D_DARPA_UNSEEN_SELECTOR
22,C4B80DB1-80A8-5F7A-8759-BD4265F31CED,1,Violation,2,2,122.807,2486.833,2,1.0,57774.598,2,1.0,0.7564007870862247,e:0;r:D_DARPA_UNSEEN_SELECTOR
23,BEBE2615-C0A5-5DB4-8222-FAE477F3907E,1,Violation,2,2,81.904,2219.819,2,1.0,59973.115,2,1.0,0.7536331209719436,e:0;r:D_DARPA_UNSEEN_SELECTOR
24,A7F278DD-2D9A-51D9-A3C0-55B6295AF00A,1,Violation,2,2,80.604,2292.223,2,1.0,55673.085,2,1.0,0.7583097979077318,e:0;r:D_DARPA_UNSEEN_SELECTOR
25,EB64ADAA-564F-5820-92EE-1BA0A9F26728,1,Violation,2,2,81.704,2406.029,2,1.0,60928.567,2,1.0,0.747924791041026,e:0;r:D_DARPA_UNSEEN_SELECTOR
26,E148A5CE-3D28-5D5D-9C01-4D514585BC33,1,Violation,2,2,80.605,2753.947,2,1.0,57803.899,2,1.0,0.7584141548281931,e:0;r:D_DARPA_UNSEEN_SELECTOR
