case,event_id,unit,shap_value,lime_weight,in_core
0,3F4FE9CD-35AF-5A78-9188-69564522B176,e:0,0.5,0.6085976689669399,1
0,3F4FE9CD-35AF-5A78-9188-69564522B176,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6141011912588579,1
1,98F606DF-A939-5109-9ABE-BF8ED1FB841C,e:0,0.5,0.6078420749485683,1
1,98F606DF-A939-5109-9ABE-BF8ED1FB841C,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6107513823642795,1
2,52960553-146F-566D-AE70-7252847121ED,e:0,0.5,0.5984369280531621,1
2,52960553-146F-566D-AE70-7252847121ED,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6049721249356159,1
3,EF928CE0-68F9-560D-BE0B-C4E0FC5F95CA,e:0,0.5,0.6152573974028418,1
3,EF928CE0-68F9-560D-BE0B-C4E0FC5F95CA,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6121890964180189,1
4,BBCF97E9-25CD-52DE-B19B-35C22B74050B,e:0,0.5,0.603114898675774,1
4,BBCF97E9-25CD-52DE-B19B-35C22B74050B,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6138410791232024,1
5,241BB73A-40D3-5BAC-AE8A-94D0C48D0F44,e:0,0.5,0.6054701708600169,1
5,241BB73A-40D3-5BAC-AE8A-94D0C48D0F44,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6100317449970706,1
6,6AB87C5C-3555-5DBB-8038-BB2656124DCF,e:0,0.5,0.614740455735531,1
6,6AB87C5C-3555-5DBB-8038-BB2656124DCF,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6171164622183672,1
7,DAEC0E8C-1905-5EDF-9BC2-6DDB9967DF37,e:0,0.5,0.5959681716226232,1
7,DAEC0E8C-1905-5EDF-9BC2-6DDB9967DF37,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6123824479585891,1
8,79C3283B-0C08-5B38-9E14-332FEB87764D,e:0,0.5,0.6068938710501389,1
8,79C3283B-0C08-5B38-9E14-332FEB87764D,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6093108817627394,1
9,F840FEA2-4922-5041-8FD6-9A206BD1C18F,e:0,0.5,0.6049482500326202,1
9,F840FEA2-4922-5041-8FD6-9A206BD1C18F,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.5981560533964131,1
10,45BF0A20-F4C8-52C6-B0C3-6B853E7B05B1,e:0,0.5,0.6086675254406085,1
10,45BF0A20-F4C8-52C6-B0C3-6B853E7B05B1,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6044329320346531,1
11,CD49C95C-CF63-544F-AA91-8072D73D830D,e:0,0.5,0.6116615474503537,1
11,CD49C95C-CF63-544F-AA91-8072D73D830D,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6034688189315499,1
12,47A49CE6-E59F-5317-9EF2-7A64AF06411D,e:0,0.5,0.6073527113995388,1
12,47A49CE6-E59F-5317-9EF2-7A64AF06411D,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.610958745672977,1
13,2B96A56C-93C1-5A4B-A130-45FF889E8444,e:0,0.5,0.6178223965571105,1
13,2B96A56C-93C1-5A4B-A130-45FF889E8444,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6073165919490371,1
14,04283BB4-636F-59A0-A35E-6D73D939273A,e:0,0.5,0.6035280682820263,1
14,04283BB4-636F-59A0-A35E-6D73D939273A,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6144366224540609,1
15,5AF5AC1A-2427-5005-B5C3-855CC49D40B2,e:0,0.5,0.6142444736944888,1
15,5AF5AC1A-2427-5005-B5C3-855CC49D40B2,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.5986729381618199,1
16,2AE42829-4438-58ED-8A02-181AA5B06DF6,e:0,0.5,0.6105004060013061,1
16,2AE42829-4438-58ED-8A02-181AA5B06DF6,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6078784676240586,1
17,A258ADFE-1B38-539F-A9DD-504FF96561E9,e:0,0.5,0.6032705026359918,1
17,A258ADFE-1B38-539F-A9DD-504FF96561E9,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6053539528060705,1
18,F82BF9D8-FAEA-53D8-A800-4A5F6358D214,e:0,0.5,0.6036111771223239,1
18,F82BF9D8-FAEA-53D8-A800-4A5F6358D214,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6118762381200243,1
19,92DF49F5-7B82-5DE2-88D3-0B1EE0436272,e:0,0.5,0.6047364474742758,1
19,92DF49F5-7B82-5DE2-88D3-0B1EE0436272,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6010234062410503,1
20,7EE874BF-3CC6-5B28-9162-23ADE3857D40,e:0,0.5,0.6099243706337057,1
20,7EE874BF-3CC6-5B28-9162-23ADE3857D40,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6137789308733098,1
21,3EFBC3A9-E8FC-5704-A71D-68F381608146,e:0,0.5,0.6189877974287737,1
21,3EFBC3A9-E8FC-5704-A71D-68F381608146,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6148603122149534,1
22,C4B80DB1-80A8-5F7A-8759-BD4265F31CED,e:0,0.5,0.6151600964735167,1
22,C4B80DB1-80A8-5F7A-8759-BD4265F31CED,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.597048115306367,1
23,BEBE2615-C0A5-5DB4-8222-FAE477F3907E,e:0,0.5,0.6067518240807861,1
23,BEBE2615-C0A5-5DB4-8222-FAE477F3907E,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6098667118931353,1
24,A7F278DD-2D9A-51D9-A3C0-55B6295AF00A,e:0,0.5,0.6104637000917941,1
24,A7F278DD-2D9A-51D9-A3C0-55B6295AF00A,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6050291818775826,1
25,EB64ADAA-564F-5820-92EE-1BA0A9F26728,e:0,0.5,0.6125630932739758,1
25,EB64ADAA-564F-5820-92EE-1BA0A9F26728,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.5949880179328878,1
26,E148A5CE-3D28-5D5D-9C01-4D514585BC33,e:0,0.5,0.612795604146176,1
26,E148A5CE-3D28-5D5D-9C01-4D514585BC33,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6049134299737959,1
27,04597251-9745-57F2-A82C-596BEC5272E4,e:0,0.5,0.6085800020788348,1
27,04597251-9745-57F2-A82C-596BEC5272E4,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6096674507206182,1
28,5F370741-50AF-5316-9C7D-C83BD3353738,e:0,0.5,0.6105158980880709,1
28,5F370741-50AF-5316-9C7D-C83BD3353738,r:D_DARPA_UNSEEN_SELECTOR,0.5,0.6032899168239834,1
29,95F6DA2B-C72D-564A-AD11-46B359C22140,e:0,0.5,0.6189291794989036,1
