seed,kind,target_class,n_units,intrinsic_core_size,lime_sufficient_k,lime_selected,lime_jaccard_with_core,lime_us,lime_local_pred,lime_score,core,lime_ranking
2026081401,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,124450.316,0.7829352333049651,0.7029911286549649,e:3;r:D_SECRET_READ,r:D_SECRET_READ;e:3;e:0;e:1;e:2
2026081402,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,100464.759,0.7856082417614936,0.7046955221783187,e:3;r:D_SYSTEM_WRITE,r:D_SYSTEM_WRITE;e:3;e:0;e:2;e:1
2026081403,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,99408.704,0.7828940811769005,0.6992250787232746,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:0;e:2;e:1
2026081404,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,118726.216,0.3798414855524495,0.31758693592207843,e:0;e:1;e:2;r:D_SCAN,r:D_SCAN;e:1;e:0;e:2;r:A_NETWORK_CONNECT
2026081405,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,128962.252,0.7711706629027035,0.6964152128495904,e:3;r:D_SECRET_READ,r:D_SECRET_READ;e:3;e:0;e:1;e:2
2026081406,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,107897.349,0.7925847397417077,0.707071989319319,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:0;e:1;e:2
2026081407,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,140143.337,0.7830157948091594,0.700020699126076,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:1;e:0;e:2
2026081408,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,127115.554,0.3986270372871094,0.3319093891724597,e:0;e:1;e:2;r:D_SCAN,e:0;r:D_SCAN;e:2;e:1;r:A_NETWORK_CONNECT
2026081409,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,172380.724,0.7866704879337727,0.7031915122852432,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:0;e:1;e:2
2026081410,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,99138.39,0.7928614671080174,0.7092939788354864,e:3;r:D_SYSTEM_WRITE,r:D_SYSTEM_WRITE;e:3;e:2;e:1;e:0
2026081411,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,97921.327,0.7837379290299633,0.6997677471524888,e:3;r:D_SYSTEM_EXEC,r:D_SYSTEM_EXEC;e:3;e:2;e:1;e:0
2026081412,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,93043.671,0.36601876768821173,0.3162389671411642,e:0;e:1;e:2;r:D_SCAN,e:2;r:D_SCAN;e:0;e:1;r:A_NETWORK_CONNECT
2026081413,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,128165.01,0.7996701690833485,0.7094266894165245,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:0;e:2;e:1
2026081414,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,107455.326,0.7895626455150375,0.7054769990622951,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:1;e:0;e:2
2026081415,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,102374.86,0.794456009501308,0.7049363633689266,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:1;e:0;e:2
2026081416,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,92506.043,0.3980691298419701,0.33427417265119197,e:0;e:1;e:2;r:D_SCAN,r:D_SCAN;e:1;e:2;e:0;r:A_NETWORK_CONNECT
2026081417,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,108503.78,0.7918700253559654,0.7043550562713183,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:0;e:1;e:2
2026081418,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,102926.389,0.7907469107313456,0.6998833091954975,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:0;e:2;e:1
2026081419,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,103890.639,0.7924302171517698,0.7044434033498194,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:2;e:1;e:0
2026081420,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,93450.392,0.3627918672877067,0.30777449930721146,e:0;e:1;e:2;r:D_SCAN,e:1;r:D_SCAN;e:0;e:2;r:A_NETWORK_CONNECT
2026081421,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,100171.844,0.7906612948096182,0.6949042482722992,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:0;e:1;e:2
2026081422,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,98238.043,0.7748098156555487,0.6931242989625227,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:0;e:2;e:1
2026081423,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,109488.532,0.7923382679902176,0.7026261947667032,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:2;e:0;e:1
2026081424,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,99704.42,0.3739869861188078,0.3160604509347561,e:0;e:1;e:2;r:D_SCAN,r:D_SCAN;e:0;e:2;e:1;r:A_NETWORK_CONNECT
2026081425,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,105994.549,0.796543953431881,0.7079843053814263,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:2;e:1;e:0
2026081426,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,102556.469,0.7969058738666925,0.7046968814663319,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:0;e:1;e:2
2026081427,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,136780.861,0.7980194350739677,0.7114683500538754,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:1;e:0;e:2
2026081428,scan,Violation,5,4,4,e:0;e:1;e:2;r:D_SCAN,1.0,92714.053,0.390830184877199,0.32684756708503104,e:0;e:1;e:2;r:D_SCAN,e:0;e:1;r:D_SCAN;e:2;r:A_NETWORK_CONNECT
2026081429,secret_read,Violation,5,2,2,e:3;r:D_SECRET_READ,1.0,101131.395,0.7868060421510581,0.7059721076125334,e:3;r:D_SECRET_READ,r:D_SECRET_READ;e:3;e:0;e:2;e:1
2026081430,system_write,Violation,5,2,2,e:3;r:D_SYSTEM_WRITE,1.0,99808.925,0.7964615311505172,0.7097870905525809,e:3;r:D_SYSTEM_WRITE,r:D_SYSTEM_WRITE;e:3;e:1;e:2;e:0
2026081501,system_exec,Violation,5,2,2,e:3;r:D_SYSTEM_EXEC,1.0,102056.043,0.7814572291021702,0.7016267597830645,e:3;r:D_SYSTEM_EXEC,r:D_SYSTEM_EXEC;e:3;e:0;e:2;e:1
