seed,kind,target_class,n_units,intrinsic_core_size,intrinsic_event_units,intrinsic_rule_units,intrinsic_sound,intrinsic_witnesses,intrinsic_us,shap_sufficient_k,shap_selected,shap_jaccard_with_core,shap_us,core,shap_ranking
2026081401,secret_read,Violation,5,2,1,1,1,2,701.737,2,e:3;r:D_SECRET_READ,1.0,39971.492,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:1;e:0;e:2
2026081402,system_write,Violation,5,2,1,1,1,2,407.221,2,e:3;r:D_SYSTEM_WRITE,1.0,5036.163,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:1;e:0;e:2
2026081403,system_exec,Violation,5,2,1,1,1,2,512.227,2,e:3;r:D_SYSTEM_EXEC,1.0,7298.982,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:1;e:0;e:2
2026081404,scan,Violation,5,4,3,1,1,4,359.819,4,e:0;e:1;e:2;r:D_SCAN,1.0,7606.998,e:0;e:1;e:2;r:D_SCAN,e:1;e:2;e:0;r:D_SCAN;r:A_NETWORK_CONNECT
2026081405,secret_read,Violation,5,2,1,1,1,2,444.123,2,e:3;r:D_SECRET_READ,1.0,4173.618,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:1;e:0;e:2
2026081406,system_write,Violation,5,2,1,1,1,2,370.82,2,e:3;r:D_SYSTEM_WRITE,1.0,4535.138,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:1;e:0;e:2
2026081407,system_exec,Violation,5,2,1,1,1,2,480.825,2,e:3;r:D_SYSTEM_EXEC,1.0,4185.019,e:3;r:D_SYSTEM_EXEC,e:3;r:D_SYSTEM_EXEC;e:1;e:0;e:2
2026081408,scan,Violation,5,4,3,1,1,4,225.512,4,e:0;e:1;e:2;r:D_SCAN,1.0,5041.464,e:0;e:1;e:2;r:D_SCAN,e:1;e:2;e:0;r:D_SCAN;r:A_NETWORK_CONNECT
2026081409,secret_read,Violation,5,2,1,1,1,2,364.819,2,e:3;r:D_SECRET_READ,1.0,6880.561,e:3;r:D_SECRET_READ,e:3;r:D_SECRET_READ;e:1;e:0;e:2
2026081410,system_write,Violation,5,2,1,1,1,2,603.132,2,e:3;r:D_SYSTEM_WRITE,1.0,6040.216,e:3;r:D_SYSTEM_WRITE,e:3;r:D_SYSTEM_WRITE;e:1;e:0;e:2
