case,seed,event_index,event_id,scenario,truth,target_class,n_units,intrinsic_core_size,intrinsic_checks,intrinsic_us,shap_us,shap_sufficient_k,shap_jaccard_with_core,lime_us,lime_sufficient_k,lime_jaccard_with_core,lime_score,core
0,2026081401,96,efa466b6-8275-bed8-dd96-80e90bbb85a3,admin_probe,1,Violation,6,2,50,728.543,5910.589,2,1.0,,,,,e:4;r:D_ADMIN
1,2026081401,147,4abf15aa-b546-205e-34ea-b37e5fab3f2e,admin_probe,1,Violation,6,2,50,798.509,4482.806,2,1.0,,,,,e:4;r:D_ADMIN
2,2026081401,150,1732973c-780b-bb19-f8b7-41bcf765d380,admin_probe,1,Violation,6,2,50,711.153,3969.177,2,1.0,,,,,e:4;r:D_ADMIN
3,2026081401,173,eeae489b-d013-75ae-3c72-9746820e6a18,admin_probe,1,Violation,6,2,50,670.428,3927.629,2,1.0,,,,,e:4;r:D_ADMIN
4,2026081401,180,2974cf63-4211-bb12-0857-fdd03f23683b,admin_probe,1,Violation,6,2,50,693.925,3947.15,2,1.0,,,,,e:4;r:D_ADMIN
5,2026081401,250,96702d7e-ba00-479d-ff7d-7ceb65d87dcb,admin_probe,1,Violation,6,2,50,787.688,4087.528,2,1.0,,,,,e:4;r:D_ADMIN
6,2026081401,261,303a2b29-4eba-ddb4-bf47-80784f6faddf,admin_probe,1,Violation,6,2,50,630.854,4141.766,2,1.0,,,,,e:4;r:D_ADMIN
7,2026081401,295,c0e00bf8-6c0c-c482-1c11-fc94e29e1f4d,admin_probe,1,Violation,6,2,50,820.207,4198.171,2,1.0,,,,,e:4;r:D_ADMIN
8,2026081402,10,8fe5e8ae-24f1-4586-1803-878b0fc44f03,admin_probe,1,Violation,6,2,50,830.697,3998.845,2,1.0,,,,,e:4;r:D_ADMIN
9,2026081402,75,1a267490-5a98-d743-ef25-bf77fdf62acf,admin_probe,1,Violation,6,2,50,698.075,4376.947,2,1.0,,,,,e:4;r:D_ADMIN
10,2026081402,122,2b72eb93-cae7-e922-eed5-a9bece2efb93,admin_probe,1,Violation,6,2,50,633.129,4115.088,2,1.0,,,,,e:4;r:D_ADMIN
11,2026081403,61,84f60aef-5bbe-f906-2735-bb79f2a9f4b3,admin_probe,1,Violation,6,2,50,653.01,3969.541,2,1.0,,,,,e:4;r:D_ADMIN
12,2026081403,75,668375b1-0de7-5ded-ed62-bc785d313459,admin_probe,1,Violation,6,2,50,593.265,4254.148,2,1.0,,,,,e:4;r:D_ADMIN
13,2026081403,107,25b0bb24-c7d1-e7bd-516e-fdca5abb71aa,admin_probe,1,Violation,6,2,50,674.632,4059.531,2,1.0,,,,,e:4;r:D_ADMIN
14,2026081403,229,9b102562-446c-7e51-93f7-1cf34d3e23d7,admin_probe,1,Violation,6,2,50,693.265,3970.375,2,1.0,,,,,e:4;r:D_ADMIN
15,2026081404,36,15839658-5a67-4088-08f9-ec10898d1649,admin_probe,1,Violation,6,2,50,715.42,3949.975,2,1.0,,,,,e:4;r:D_ADMIN
16,2026081404,258,9337e181-7198-5e4a-2592-06e1459b5359,admin_probe,1,Violation,6,2,50,711.737,3925.77,2,1.0,,,,,e:4;r:D_ADMIN
17,2026081404,266,836707c4-0caf-8b55-d583-04e92fb911df,admin_probe,1,Violation,6,2,50,662.921,3871.167,2,1.0,,,,,e:4;r:D_ADMIN
18,2026081405,7,0171384d-3d31-13f3-cea1-f5e1f447d1d0,admin_probe,1,Violation,6,2,50,685.062,3911.12,2,1.0,,,,,e:4;r:D_ADMIN
19,2026081405,85,4daf5e08-da38-8955-4df0-0f71486a07c9,admin_probe,1,Violation,6,2,50,723.824,4258.449,2,1.0,,,,,e:4;r:D_ADMIN
20,2026081405,140,da9a8977-c317-5b93-914e-320773baf008,admin_probe,1,Violation,6,2,50,619.063,5486.924,2,1.0,,,,,e:4;r:D_ADMIN
21,2026081405,174,4b93889a-7451-0164-4c36-e5a8ced39a4e,admin_probe,1,Violation,6,2,50,734.47,3879.527,2,1.0,,,,,e:4;r:D_ADMIN
22,2026081405,220,8a1f190e-225c-6b23-4509-b30e53127e1c,admin_probe,1,Violation,6,2,50,647.425,4183.662,2,1.0,,,,,e:4;r:D_ADMIN
