n_units,repeat,intrinsic_checks,intrinsic_core_size,intrinsic_us,shap_us,lime_us,lime_score,shap_nsamples,lime_num_samples,lime_training_rows,implementation_limit
5,0,26,2,394.242,5529.881,,,32,5000,,18
5,1,26,2,321.77,3680.944,,,32,5000,,18
5,2,26,2,384.862,3190.993,,,32,5000,,18
6,0,50,2,558.085,3164.19,,,64,5000,,18
6,1,50,2,703.118,3276.381,,,64,5000,,18
6,2,50,2,554.363,3260.573,,,64,5000,,18
7,0,98,2,1387.848,4483.995,,,128,5000,,18
7,1,98,2,1217.956,4522.298,,,128,5000,,18
7,2,98,2,1160.833,4484.923,,,128,5000,,18
8,0,194,2,2089.958,6687.412,,,256,5000,,18
8,1,194,2,2059.243,6913.04,,,256,5000,,18
8,2,194,2,1981.33,6715.059,,,256,5000,,18
9,0,386,2,4199.396,14670.815,,,512,5000,,18
9,1,386,2,4075.546,11396.227,,,512,5000,,18
9,2,386,2,3984.728,11219.75,,,512,5000,,18
10,0,770,2,8569.769,23334.097,,,1024,5000,,18
10,1,770,2,7931.619,20452.481,,,1024,5000,,18
10,2,770,2,8283.099,19962.831,,,1024,5000,,18
11,0,1538,2,16610.55,23670.625,,,1024,5000,,18
11,1,1538,2,16278.708,23141.055,,,1024,5000,,18
11,2,1538,2,16630.713,25036.566,,,1024,5000,,18
12,0,3074,2,32492.186,26539.293,,,1024,5000,,18
12,1,3074,2,34087.357,24914.402,,,1024,5000,,18
12,2,3074,2,34084.984,26330.266,,,1024,5000,,18
13,0,6146,2,69591.559,25720.878,,,1024,5000,,18
13,1,6146,2,69354.897,24035.199,,,1024,5000,,18
13,2,6146,2,67835.078,24866.248,,,1024,5000,,18
14,0,12290,2,142858.05,26851.075,,,1024,5000,,18
14,1,12290,2,142722.836,25868.949,,,1024,5000,,18
14,2,12290,2,140637.86,25824.929,,,1024,5000,,18
15,0,24578,2,294185.961,25124.46,,,1024,5000,,18
15,1,24578,2,291440.02,24527.604,,,1024,5000,,18
15,2,24578,2,292168.703,24329.997,,,1024,5000,,18
16,0,49154,2,649452.105,28684.901,,,1024,5000,,18
16,1,49154,2,604027.679,28820.403,,,1024,5000,,18
16,2,49154,2,606820.554,29465.582,,,1024,5000,,18
17,0,98306,2,1344076.472,39709.279,,,1024,5000,,18
17,1,98306,2,1331401.703,36961.637,,,1024,5000,,18
17,2,98306,2,1394033.345,47549.856,,,1024,5000,,18
18,0,196610,2,7821669.934,135888.812,,,1024,5000,,18
18,1,196610,2,9336322.398,391814.769,,,1024,5000,,18
18,2,196610,2,4676533.792,38283.356,,,1024,5000,,18
