seed,kind,perturbation,intrinsic_jaccard,shap_jaccard,lime_jaccard,witness_valid_before,witness_valid_after
2026081401,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081402,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081403,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081404,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081405,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081406,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081407,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081408,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081409,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081410,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081411,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081412,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081413,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081414,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081415,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081416,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081417,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081418,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081419,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081420,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081421,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081422,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081423,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081424,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081425,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081426,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081427,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081428,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
2026081429,secret_read,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081430,system_write,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081501,system_exec,stutter_noncore_event_0,1.0,1.0,1.0,1,1
2026081502,scan,remove_noncore_allow_rule,1.0,1.0,1.0,1,1
