seed,truth,predicted,correct,false_positive_count,shadowed,redundant
2026081401,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081401,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081401,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081401,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081402,conflict,conflict,1,0,,A_ADMIN
2026081402,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081402,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081402,gap,gap,1,0,,A_ADMIN
2026081403,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081403,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081403,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081403,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081404,conflict,conflict,1,0,,A_ADMIN
2026081404,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081404,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081404,gap,gap,1,0,,A_ADMIN
2026081405,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081405,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081405,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081405,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081406,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081406,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081406,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081406,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081407,conflict,conflict,1,0,,A_ADMIN
2026081407,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081407,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081407,gap,gap,1,0,,A_ADMIN
2026081408,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081408,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081408,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081408,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081409,conflict,conflict,1,0,,A_ADMIN
2026081409,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081409,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081409,gap,gap,1,0,,A_ADMIN
2026081410,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081410,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081410,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081410,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081411,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081411,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081411,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081411,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081412,conflict,conflict,1,0,,A_ADMIN
2026081412,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081412,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081412,gap,gap,1,0,,A_ADMIN
2026081413,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081413,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081413,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081413,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081414,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081414,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081414,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081414,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081415,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081415,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081415,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081415,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081416,conflict,conflict,1,0,,A_ADMIN
2026081416,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081416,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081416,gap,gap,1,0,,A_ADMIN
2026081417,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081417,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081417,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081417,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081418,conflict,conflict,1,0,,A_ADMIN
2026081418,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081418,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081418,gap,gap,1,0,,A_ADMIN
2026081419,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081419,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081419,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081419,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081420,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081420,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081420,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081420,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081421,conflict,conflict,1,0,,A_ADMIN
2026081421,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081421,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081421,gap,gap,1,0,,A_ADMIN
2026081422,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081422,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081422,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081422,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081423,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081423,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081423,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081423,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081424,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081424,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081424,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081424,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081425,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081425,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081425,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081425,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081426,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081426,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081426,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081426,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081427,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081427,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081427,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081427,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081428,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081428,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081428,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081428,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081429,conflict,conflict,1,0,,A_ADMIN;D_SCAN
2026081429,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SCAN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081429,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;D_SCAN;M_REDUNDANT_A_READ_PUBLIC
2026081429,gap,gap,1,0,,A_ADMIN;D_SCAN
2026081430,conflict,conflict,1,0,,A_ADMIN
2026081430,shadowing,shadowing,1,0,M_SHADOW_D_SECRET_READ,A_ADMIN;D_SECRET_READ;M_SHADOW_D_SECRET_READ
2026081430,redundancy,redundancy,1,0,,A_ADMIN;A_READ_PUBLIC;M_REDUNDANT_A_READ_PUBLIC
2026081430,gap,gap,1,0,,A_ADMIN
