pid,version,rid,priority,effect,action,resource_class,subject_class,fallback_nonstutter
DARPA_CADETS_WHITELIST,1,A_DARPA_0000,10,ALLOW,read,file:dev,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0001,10,ALLOW,close,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0002,10,ALLOW,fcntl,other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0003,10,ALLOW,lseek,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0004,10,ALLOW,read,file:etc,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0005,10,ALLOW,mmap,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0006,10,ALLOW,read,file:usr,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0007,10,ALLOW,open,file:usr,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0008,10,ALLOW,modify_process,process,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0009,10,ALLOW,create_object,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0010,10,ALLOW,open,file:etc,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0011,10,ALLOW,open,file:root_other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0012,10,ALLOW,read,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0013,10,ALLOW,write,file:other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0014,10,ALLOW,read,file:other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0015,10,ALLOW,write,file:dev,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0016,10,ALLOW,open,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0017,10,ALLOW,fork,process,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0018,10,ALLOW,exit,process,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0019,10,ALLOW,change_principal,process,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0020,10,ALLOW,read,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0021,10,ALLOW,write,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0022,10,ALLOW,write,pipe,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0023,10,ALLOW,read,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0024,10,ALLOW,read,pipe,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0025,10,ALLOW,open,file:dev,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0026,10,ALLOW,open,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0027,10,ALLOW,recvfrom,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0028,10,ALLOW,sendto,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0029,10,ALLOW,connect,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0030,10,ALLOW,write,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0031,10,ALLOW,create_object,pipe,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0032,10,ALLOW,recvfrom,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0033,10,ALLOW,close,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0034,10,ALLOW,sendto,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0035,10,ALLOW,accept,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0036,10,ALLOW,connect,network,process,0
