seed,n,precision,recall,f1,fpr,tp,tn,fp,fn,alerts,episode_precision,episode_recall,episode_f1,episode_fpr,episode_tp,episode_tn,episode_fp,episode_fn
2026081401,300,1.0,0.9658119658119658,0.9826086956521739,0.0,113,183,0,4,113,1.0,1.0,1.0,0.0,37,183,0,0
2026081402,300,1.0,0.963302752293578,0.9813084112149533,0.0,105,191,0,4,105,1.0,1.0,1.0,0.0,33,191,0,0
2026081403,300,1.0,0.9669421487603306,0.9831932773109243,0.0,117,179,0,4,117,1.0,1.0,1.0,0.0,33,179,0,0
2026081404,300,1.0,0.9622641509433962,0.9807692307692307,0.0,102,194,0,4,102,1.0,1.0,1.0,0.0,30,194,0,0
2026081405,300,1.0,0.9716312056737588,0.9856115107913669,0.0,137,159,0,4,137,1.0,1.0,1.0,0.0,45,159,0,0
2026081406,300,1.0,0.968,0.983739837398374,0.0,121,175,0,4,121,1.0,1.0,1.0,0.0,41,175,0,0
2026081407,300,1.0,0.9587628865979382,0.9789473684210527,0.0,93,203,0,4,93,1.0,1.0,1.0,0.0,35,203,0,0
2026081408,300,1.0,0.96875,0.9841269841269841,0.0,124,172,0,4,124,1.0,1.0,1.0,0.0,40,172,0,0
2026081409,300,1.0,0.9682539682539683,0.9838709677419355,0.0,122,174,0,4,122,1.0,1.0,1.0,0.0,46,174,0,0
2026081410,300,1.0,0.9672131147540983,0.9833333333333333,0.0,118,178,0,4,118,1.0,1.0,1.0,0.0,40,178,0,0
2026081411,300,1.0,0.9738562091503268,0.9867549668874173,0.0,149,147,0,4,149,1.0,1.0,1.0,0.0,50,147,0,0
2026081412,300,1.0,0.9649122807017544,0.9821428571428571,0.0,110,186,0,4,110,1.0,1.0,1.0,0.0,38,186,0,0
2026081413,300,1.0,0.9615384615384616,0.9803921568627451,0.0,100,196,0,4,100,1.0,1.0,1.0,0.0,32,196,0,0
2026081414,300,1.0,0.968,0.983739837398374,0.0,121,175,0,4,121,1.0,1.0,1.0,0.0,41,175,0,0
2026081415,300,1.0,0.9696969696969697,0.9846153846153847,0.0,128,168,0,4,128,1.0,1.0,1.0,0.0,48,168,0,0
2026081416,300,1.0,0.9745222929936306,0.9870967741935484,0.0,153,143,0,4,153,1.0,1.0,1.0,0.0,53,143,0,0
2026081417,300,1.0,0.96875,0.9841269841269841,0.0,124,172,0,4,124,1.0,1.0,1.0,0.0,36,172,0,0
2026081418,300,1.0,0.9587628865979382,0.9789473684210527,0.0,93,203,0,4,93,1.0,1.0,1.0,0.0,29,203,0,0
2026081419,300,1.0,0.9726027397260274,0.9861111111111112,0.0,142,154,0,4,142,1.0,1.0,1.0,0.0,46,154,0,0
2026081420,300,1.0,0.9735099337748344,0.9865771812080537,0.0,147,149,0,4,147,1.0,1.0,1.0,0.0,43,149,0,0
2026081421,300,1.0,0.9642857142857143,0.9818181818181818,0.0,108,188,0,4,108,1.0,1.0,1.0,0.0,39,188,0,0
2026081422,300,1.0,0.9694656488549618,0.9844961240310077,0.0,127,169,0,4,127,1.0,1.0,1.0,0.0,39,169,0,0
2026081423,300,1.0,0.9642857142857143,0.9818181818181818,0.0,108,188,0,4,108,1.0,1.0,1.0,0.0,44,188,0,0
2026081424,300,1.0,0.9636363636363636,0.9814814814814815,0.0,106,190,0,4,106,1.0,1.0,1.0,0.0,34,190,0,0
2026081425,300,1.0,0.9595959595959596,0.979381443298969,0.0,95,201,0,4,95,1.0,1.0,1.0,0.0,35,201,0,0
2026081426,300,1.0,0.9661016949152542,0.9827586206896551,0.0,114,182,0,4,114,1.0,1.0,1.0,0.0,42,182,0,0
2026081427,300,1.0,0.967479674796748,0.9834710743801653,0.0,119,177,0,4,119,1.0,1.0,1.0,0.0,41,177,0,0
2026081428,300,1.0,0.9689922480620154,0.984251968503937,0.0,125,171,0,4,125,1.0,1.0,1.0,0.0,41,171,0,0
2026081429,300,1.0,0.96,0.9795918367346939,0.0,96,200,0,4,96,1.0,1.0,1.0,0.0,36,200,0,0
2026081430,300,1.0,0.9622641509433962,0.9807692307692307,0.0,102,194,0,4,102,1.0,1.0,1.0,0.0,30,194,0,0
