precision,recall,f1,fpr,tp,tn,fp,fn,episode_precision,episode_recall,episode_f1,episode_fpr,episode_tp,episode_tn,episode_fp,episode_fn,seed,n,mean_us,policy_version
1.0,0.48717948717948717,0.6551724137931034,0.0,57,183,0,60,1.0,1.0,1.0,0.0,37,183,0,0,2026081401,300,8.172829999999994,1
1.0,0.5321100917431193,0.6946107784431138,0.0,58,191,0,51,1.0,1.0,1.0,0.0,33,191,0,0,2026081402,300,7.541813333333337,1
1.0,0.45454545454545453,0.625,0.0,55,179,0,66,1.0,1.0,1.0,0.0,33,179,0,0,2026081403,300,7.4754999999999985,1
1.0,0.5188679245283019,0.6832298136645962,0.0,55,194,0,51,1.0,1.0,1.0,0.0,30,194,0,0,2026081404,300,6.93378666666667,1
1.0,0.5957446808510638,0.7466666666666667,0.0,84,159,0,57,1.0,1.0,1.0,0.0,45,159,0,0,2026081405,300,7.818486666666674,1
1.0,0.616,0.7623762376237624,0.0,77,175,0,48,1.0,1.0,1.0,0.0,41,175,0,0,2026081406,300,7.425476666666673,1
1.0,0.6288659793814433,0.7721518987341772,0.0,61,203,0,36,1.0,1.0,1.0,0.0,35,203,0,0,2026081407,300,7.076133333333332,1
1.0,0.5546875,0.7135678391959799,0.0,71,172,0,57,1.0,1.0,1.0,0.0,40,172,0,0,2026081408,300,6.93411333333334,1
1.0,0.5714285714285714,0.7272727272727273,0.0,72,174,0,54,1.0,1.0,1.0,0.0,46,174,0,0,2026081409,300,8.556226666666673,1
1.0,0.6065573770491803,0.7551020408163265,0.0,74,178,0,48,1.0,0.975,0.9873417721518988,0.0,39,178,0,1,2026081410,300,7.249790000000001,1
1.0,0.6274509803921569,0.7710843373493976,0.0,96,147,0,57,1.0,1.0,1.0,0.0,50,147,0,0,2026081411,300,8.13784333333334,1
1.0,0.5526315789473685,0.711864406779661,0.0,63,186,0,51,1.0,1.0,1.0,0.0,38,186,0,0,2026081412,300,8.38786333333334,1
1.0,0.5384615384615384,0.7,0.0,56,196,0,48,1.0,1.0,1.0,0.0,32,196,0,0,2026081413,300,8.348526666666672,1
1.0,0.568,0.7244897959183674,0.0,71,175,0,54,1.0,1.0,1.0,0.0,41,175,0,0,2026081414,300,6.749436666666665,1
1.0,0.6136363636363636,0.7605633802816901,0.0,81,168,0,51,1.0,1.0,1.0,0.0,48,168,0,0,2026081415,300,6.707106666666669,1
1.0,0.5923566878980892,0.744,0.0,93,143,0,64,1.0,0.9811320754716981,0.9904761904761905,0.0,52,143,0,1,2026081416,300,7.043786666666667,1
1.0,0.484375,0.6526315789473685,0.0,62,172,0,66,1.0,1.0,1.0,0.0,36,172,0,0,2026081417,300,6.796433333333336,1
1.0,0.6288659793814433,0.7721518987341772,0.0,61,203,0,36,1.0,1.0,1.0,0.0,29,203,0,0,2026081418,300,7.634153333333336,1
1.0,0.5273972602739726,0.6905829596412556,0.0,77,154,0,69,1.0,1.0,1.0,0.0,46,154,0,0,2026081419,300,8.220196666666675,1
1.0,0.5629139072847682,0.7203389830508474,0.0,85,149,0,66,1.0,1.0,1.0,0.0,43,149,0,0,2026081420,300,7.177100000000002,1
1.0,0.5267857142857143,0.6900584795321637,0.0,59,188,0,53,1.0,0.9743589743589743,0.987012987012987,0.0,38,188,0,1,2026081421,300,8.210860000000007,1
1.0,0.5877862595419847,0.7403846153846154,0.0,77,169,0,54,1.0,1.0,1.0,0.0,39,169,0,0,2026081422,300,7.710843333333334,1
1.0,0.6160714285714286,0.7624309392265194,0.0,69,188,0,43,1.0,0.9772727272727273,0.9885057471264368,0.0,43,188,0,1,2026081423,300,6.983446666666672,1
1.0,0.5636363636363636,0.7209302325581395,0.0,62,190,0,48,1.0,1.0,1.0,0.0,34,190,0,0,2026081424,300,7.081453333333335,1
1.0,0.6060606060606061,0.7547169811320755,0.0,60,201,0,39,1.0,1.0,1.0,0.0,35,201,0,0,2026081425,300,8.463230000000003,1
1.0,0.6440677966101694,0.7835051546391752,0.0,76,182,0,42,1.0,1.0,1.0,0.0,42,182,0,0,2026081426,300,7.084466666666672,1
1.0,0.5853658536585366,0.7384615384615385,0.0,72,177,0,51,1.0,0.975609756097561,0.9876543209876543,0.0,40,177,0,1,2026081427,300,7.710153333333337,1
1.0,0.5736434108527132,0.729064039408867,0.0,74,171,0,55,1.0,0.975609756097561,0.9876543209876543,0.0,40,171,0,1,2026081428,300,7.121800000000005,1
1.0,0.58,0.7341772151898734,0.0,58,200,0,42,1.0,1.0,1.0,0.0,36,200,0,0,2026081429,300,7.509813333333333,1
1.0,0.5471698113207547,0.7073170731707317,0.0,58,194,0,48,1.0,1.0,1.0,0.0,30,194,0,0,2026081430,300,10.369993333333337,1
