seed,n,precision,recall,f1,fpr,tp,tn,fp,fn,alerts,phase1_blocks,phase3_blocks,episode_precision,episode_recall,episode_f1,episode_fpr,episode_tp,episode_tn,episode_fp,episode_fn
2026081401,300,1.0,0.358974358974359,0.5283018867924528,0.0,42,183,0,75,42,300,117,1.0,1.0,1.0,0.0,37,183,0,0
2026081402,300,1.0,0.3394495412844037,0.5068493150684932,0.0,37,191,0,72,37,300,109,1.0,1.0,1.0,0.0,33,191,0,0
2026081403,300,1.0,0.3140495867768595,0.4779874213836478,0.0,38,179,0,83,38,300,121,1.0,1.0,1.0,0.0,33,179,0,0
2026081404,300,1.0,0.32075471698113206,0.4857142857142857,0.0,34,194,0,72,34,300,106,1.0,1.0,1.0,0.0,30,194,0,0
2026081405,300,1.0,0.3617021276595745,0.53125,0.0,51,159,0,90,51,300,141,1.0,1.0,1.0,0.0,45,159,0,0
2026081406,300,1.0,0.368,0.5380116959064327,0.0,46,175,0,79,46,300,125,1.0,1.0,1.0,0.0,41,175,0,0
2026081407,300,1.0,0.3917525773195876,0.562962962962963,0.0,38,203,0,59,38,300,97,1.0,1.0,1.0,0.0,35,203,0,0
2026081408,300,1.0,0.3515625,0.5202312138728323,0.0,45,172,0,83,45,300,128,1.0,1.0,1.0,0.0,40,172,0,0
2026081409,300,1.0,0.40476190476190477,0.576271186440678,0.0,51,174,0,75,51,300,126,1.0,1.0,1.0,0.0,46,174,0,0
2026081410,300,1.0,0.36065573770491804,0.5301204819277109,0.0,44,178,0,78,44,300,122,1.0,0.975,0.9873417721518988,0.0,39,178,0,1
2026081411,300,1.0,0.3660130718954248,0.5358851674641149,0.0,56,147,0,97,56,300,153,1.0,1.0,1.0,0.0,50,147,0,0
2026081412,300,1.0,0.3684210526315789,0.5384615384615384,0.0,42,186,0,72,42,300,114,1.0,1.0,1.0,0.0,38,186,0,0
2026081413,300,1.0,0.34615384615384615,0.5142857142857142,0.0,36,196,0,68,36,300,104,1.0,1.0,1.0,0.0,32,196,0,0
2026081414,300,1.0,0.368,0.5380116959064327,0.0,46,175,0,79,46,300,125,1.0,1.0,1.0,0.0,41,175,0,0
2026081415,300,1.0,0.4015151515151515,0.572972972972973,0.0,53,168,0,79,53,300,132,1.0,1.0,1.0,0.0,48,168,0,0
2026081416,300,1.0,0.36942675159235666,0.5395348837209303,0.0,58,143,0,99,58,300,157,1.0,0.9811320754716981,0.9904761904761905,0.0,52,143,0,1
2026081417,300,1.0,0.3203125,0.48520710059171596,0.0,41,172,0,87,41,300,128,1.0,1.0,1.0,0.0,36,172,0,0
2026081418,300,1.0,0.3402061855670103,0.5076923076923077,0.0,33,203,0,64,33,300,97,1.0,1.0,1.0,0.0,29,203,0,0
2026081419,300,1.0,0.3561643835616438,0.5252525252525253,0.0,52,154,0,94,52,300,146,1.0,1.0,1.0,0.0,46,154,0,0
2026081420,300,1.0,0.32450331125827814,0.49,0.0,49,149,0,102,49,300,151,1.0,1.0,1.0,0.0,43,149,0,0
2026081421,300,1.0,0.38392857142857145,0.5548387096774193,0.0,43,188,0,69,43,300,112,1.0,1.0,1.0,0.0,39,188,0,0
2026081422,300,1.0,0.33587786259541985,0.5028571428571429,0.0,44,169,0,87,44,300,131,1.0,1.0,1.0,0.0,39,169,0,0
2026081423,300,1.0,0.41964285714285715,0.5911949685534591,0.0,47,188,0,65,47,300,112,1.0,0.9772727272727273,0.9885057471264368,0.0,43,188,0,1
2026081424,300,1.0,0.34545454545454546,0.5135135135135135,0.0,38,190,0,72,38,300,110,1.0,1.0,1.0,0.0,34,190,0,0
2026081425,300,1.0,0.3939393939393939,0.5652173913043478,0.0,39,201,0,60,39,300,99,1.0,1.0,1.0,0.0,35,201,0,0
2026081426,300,1.0,0.3898305084745763,0.5609756097560976,0.0,46,182,0,72,46,300,118,1.0,1.0,1.0,0.0,42,182,0,0
2026081427,300,1.0,0.36585365853658536,0.5357142857142857,0.0,45,177,0,78,45,300,123,1.0,0.975609756097561,0.9876543209876543,0.0,40,177,0,1
2026081428,300,1.0,0.3488372093023256,0.5172413793103449,0.0,45,171,0,84,45,300,129,1.0,0.975609756097561,0.9876543209876543,0.0,40,171,0,1
2026081429,300,1.0,0.4,0.5714285714285714,0.0,40,200,0,60,40,300,100,1.0,1.0,1.0,0.0,36,200,0,0
2026081430,300,1.0,0.32075471698113206,0.4857142857142857,0.0,34,194,0,72,34,300,106,1.0,1.0,1.0,0.0,30,194,0,0
