,count,unique,top,freq,mean,std,min,25%,50%,75%,max
case,32.0,,,,15.5,9.38083151964686,0.0,7.75,15.5,23.25,31.0
event_id,32,32,3F4FE9CD-35AF-5A78-9188-69564522B176,1,,,,,,,
truth,32.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
alert_class,32,1,Violation,32,,,,,,,
n_units,32.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0
intrinsic_core_size,32.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0
intrinsic_us,32.0,,,,104.53378125,78.3086310592259,76.804,79.304,81.25399999999999,92.92999999999999,505.527
shap_us,32.0,,,,3077.1243125,2887.89737023806,2191.317,2291.648,2405.879,2766.02275,18734.704
shap_sufficient_k,32.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0
shap_jaccard,32.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lime_us,32.0,,,,61253.86221875,8122.464395507718,55673.085,57766.4975,58731.548500000004,61243.6835,100346.98
lime_sufficient_k,32.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0
lime_jaccard,32.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lime_score,32.0,,,,0.7569740687507596,0.0036252873098094043,0.747924791041026,0.7550532907836185,0.7563871809097515,0.7597901956046629,0.7630909898306499
core,32,1,e:0;r:D_DARPA_UNSEEN_SELECTOR,32,,,,,,,
