n_units,intrinsic_checks,intrinsic_core_size,intrinsic_us_mean,intrinsic_us_median,shap_us_mean,shap_us_median,lime_us_mean,lime_us_median
5,26,2,366.958,384.862,4133.939333333333,3680.944,,
6,50,2,605.1886666666668,558.085,3233.7146666666667,3260.573,,
7,98,2,1255.5456666666666,1217.956,4497.072,4484.923,,
8,194,2,2043.5103333333334,2059.243,6771.8369999999995,6715.059,,
9,386,2,4086.556666666667,4075.546,12428.930666666667,11396.227,,
10,770,2,8261.495666666668,8283.099,21249.803,20452.481,,
11,1538,2,16506.657,16610.55,23949.415333333334,23670.625,,
12,3074,2,33554.842333333334,34084.984,25927.986999999997,26330.266,,
13,6146,2,68927.178,69354.897,24874.108333333334,24866.248,,
14,12290,2,142072.91533333334,142722.836,26181.651,25868.949,,
15,24578,2,292598.228,292168.703,24660.687,24527.604,,
16,49154,2,620100.1126666666,606820.554,28990.29533333333,28820.403,,
17,98306,2,1356503.84,1344076.472,41406.924,39709.279,,
18,196610,2,7278175.374666668,7821669.934,188662.31233333334,135888.812,,
