,count,unique,top,freq,mean,std,min,25%,50%,75%,max
mean_us,540.0,,,,74.93112942074075,91.46139506813125,7.9495219,9.8954035,28.81102885,110.99230045,318.6776456
p50_us,540.0,,,,65.52789907407409,80.63105098240607,7.201,8.4,25.1515,98.30525,273.317
p95_us,540.0,,,,117.77173064814811,142.50666172762558,9.6,15.204712499999946,46.55497499999996,171.3914999999999,540.734
p99_us,540.0,,,,180.4136060185186,198.5812424088709,27.802990000000023,36.87749750000001,78.05699500000006,257.7187500000001,843.2650100000002
throughput_eps,540.0,,,,52022.3451616217,44352.24533046147,3137.967202303192,9009.64304319167,34708.964059020705,101057.5105949282,125793.7285511472
mean_candidates,540.0,,,,164.15046666666666,191.32788804486486,1.7257,1.7257,50.0,200.0,500.0
divergences,540.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,540.0,,,,2026081415.5,8.663466894210838,2026081401.0,2026081408.0,2026081415.5,2026081423.0,2026081430.0
mode,540,2,selective,270,,,,,,,
P,540.0,,,,250.0,187.25633517970778,50.0,50.0,200.0,500.0,500.0
engine,540,3,reference,180,,,,,,,
n,540.0,,,,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0
