,count,mean,std,min,25%,50%,75%,max
precision,30.0,0.9979577605100618,0.0,0.9979577605100618,0.9979577605100618,0.9979577605100618,0.9979577605100618,0.9979577605100618
recall,30.0,0.04232248742577452,2.1172548202813882e-17,0.0423224874257745,0.0423224874257745,0.0423224874257745,0.0423224874257745,0.0423224874257745
f1,30.0,0.0812013010041239,0.0,0.0812013010041239,0.0812013010041239,0.0812013010041239,0.0812013010041239,0.0812013010041239
fpr,30.0,1.19158266008913e-05,3.446052767385072e-21,1.1915826600891303e-05,1.1915826600891303e-05,1.1915826600891303e-05,1.1915826600891303e-05,1.1915826600891303e-05
tp,30.0,40070.0,0.0,40070.0,40070.0,40070.0,40070.0,40070.0
tn,30.0,6881522.0,0.0,6881522.0,6881522.0,6881522.0,6881522.0,6881522.0
fp,30.0,82.0,0.0,82.0,82.0,82.0,82.0,82.0
fn,30.0,906708.0,0.0,906708.0,906708.0,906708.0,906708.0,906708.0
repetition,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
n,30.0,7828382.0,0.0,7828382.0,7828382.0,7828382.0,7828382.0,7828382.0
mean_us,30.0,15.014089072542971,5.308383887869337,13.557842886326782,13.655801531389436,13.707610349444494,13.837146751471362,41.24565020870813
p50_us,30.0,11.557300000000001,2.619996922214565,10.901,11.0,11.001,11.001,25.304
p95_us,30.0,29.69183333333333,18.042639655268992,24.501,24.80125,25.101,25.301,113.016
p99_us,30.0,55.733766666666654,32.82743125401044,44.203,45.65375,47.0525,48.57725,201.026
policy_version,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
policy_rules,30.0,79.0,0.0,79.0,79.0,79.0,79.0,79.0
train_files,30.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
test_files,30.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
