,count,mean,std,min,25%,50%,75%,max
seed,30.0,2026081415.5,8.803408430829505,2026081401.0,2026081408.25,2026081415.5,2026081422.75,2026081430.0
n,30.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0
precision,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
recall,30.0,0.9664397045548369,0.004461293806295081,0.9587628865979382,0.9633861551292744,0.9670776317572145,0.9689316860465116,0.9745222929936306
f1,30.0,0.9829284127417787,0.0023075699064466965,0.9789473684210528,0.9813516787815852,0.9832633053221288,0.9842207224096988,0.9870967741935484
fpr,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,30.0,117.3,16.613559065642324,93.0,105.25,117.5,124.75,153.0
tn,30.0,178.7,16.613559065642324,143.0,171.25,178.5,190.75,203.0
fp,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn,30.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
alerts,30.0,117.3,16.613559065642324,93.0,105.25,117.5,124.75,153.0
episode_precision,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
episode_recall,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
episode_f1,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
episode_fpr,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_tp,30.0,39.233333333333334,6.04969838708614,29.0,35.0,39.5,42.75,53.0
episode_tn,30.0,178.7,16.613559065642324,143.0,171.25,178.5,190.75,203.0
episode_fp,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_fn,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
