mode,P,engine,mean_us
collision,50,incremental,30.70554685
collision,50,indexed,29.516777316666666
collision,50,reference,24.599759749999997
collision,200,incremental,114.152781
collision,200,indexed,114.05870881666667
collision,200,reference,92.71312872333333
collision,500,incremental,281.5244945233333
collision,500,indexed,278.51074678
collision,500,reference,228.42636689
selective,50,incremental,9.128261253333333
selective,50,indexed,8.413734566666667
selective,50,reference,11.425800149999999
selective,200,incremental,9.439925543333334
selective,200,indexed,9.134148960000001
selective,200,reference,26.646100666666666
selective,500,incremental,10.325940333333333
selective,500,indexed,9.865750793333332
selective,500,reference,60.17235665666667
